,item1,item2,value,class
0,管理制度,管理制度,0.9999999999999998,經濟報酬
1,工作氛圍,管理制度,-0.4999999999999999,人際價值
2,同事互動,管理制度,-0.4999999999999999,人際價值
3,主管風格,管理制度,0.9999999999999998,人際價值
4,工作,管理制度,0.4999999999999999,招募資訊
5,正向,管理制度,1.0,情緒
6,負向,管理制度,-0.4999999999999999,情緒
7,管理制度,工作氛圍,-0.4999999999999999,經濟報酬
8,工作氛圍,工作氛圍,0.9999999999999998,人際價值
9,同事互動,工作氛圍,0.9999999999999998,人際價值
10,主管風格,工作氛圍,-0.4999999999999999,人際價值
11,工作,工作氛圍,-0.9999999999999998,招募資訊
12,正向,工作氛圍,-0.5,情緒
13,負向,工作氛圍,-0.4999999999999999,情緒
14,管理制度,同事互動,-0.4999999999999999,經濟報酬
15,工作氛圍,同事互動,0.9999999999999998,人際價值
16,同事互動,同事互動,0.9999999999999998,人際價值
17,主管風格,同事互動,-0.4999999999999999,人際價值
18,工作,同事互動,-0.9999999999999998,招募資訊
19,正向,同事互動,-0.5,情緒
20,負向,同事互動,-0.4999999999999999,情緒
21,管理制度,主管風格,0.9999999999999998,經濟報酬
22,工作氛圍,主管風格,-0.4999999999999999,人際價值
23,同事互動,主管風格,-0.4999999999999999,人際價值
24,主管風格,主管風格,0.9999999999999998,人際價值
25,工作,主管風格,0.4999999999999999,招募資訊
26,正向,主管風格,1.0,情緒
27,負向,主管風格,-0.4999999999999999,情緒
28,管理制度,工作,0.4999999999999999,經濟報酬
29,工作氛圍,工作,-0.9999999999999998,人際價值
30,同事互動,工作,-0.9999999999999998,人際價值
31,主管風格,工作,0.4999999999999999,人際價值
32,工作,工作,0.9999999999999998,招募資訊
33,正向,工作,0.4999999999999999,情緒
34,負向,工作,0.4999999999999999,情緒
35,管理制度,正向,1.0,經濟報酬
36,工作氛圍,正向,-0.5,人際價值
37,同事互動,正向,-0.5,人際價值
38,主管風格,正向,1.0,人際價值
39,工作,正向,0.49999999999999994,招募資訊
40,正向,正向,0.9999999999999999,情緒
41,負向,正向,-0.5,情緒
42,管理制度,負向,-0.4999999999999999,經濟報酬
43,工作氛圍,負向,-0.4999999999999999,人際價值
44,同事互動,負向,-0.4999999999999999,人際價值
45,主管風格,負向,-0.4999999999999999,人際價值
46,工作,負向,0.4999999999999999,招募資訊
47,正向,負向,-0.5,情緒
48,負向,負向,0.9999999999999998,情緒
